dataset,classifier,split,method,selection_metric,validation_score,test_accuracy,test_macro_f1,n_selected,selected_features,n_evaluated_subsets,time_sec
ionosphere,knn5,25,sfs,macro_f1,0.8971361776738749,0.8181818181818182,0.806060606060606,2,"f25,f15",99,0.4416829999536276
ionosphere,knn5,25,sbs,accuracy,0.9090909090909091,0.8409090909090909,0.8089330024813896,32,"f1,f2,f3,f5,f6,f7,f8,f9,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",100,0.7251218000310473
ionosphere,knn5,25,sbs,macro_f1,0.8931390406800244,0.8409090909090909,0.8089330024813896,32,"f1,f2,f3,f5,f6,f7,f8,f9,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",100,0.856022700027097
ionosphere,knn5,25,random,accuracy,0.9318181818181818,0.7954545454545454,0.7758913412563667,5,"f1,f5,f15,f21,f31",1156,6.464195399952587
ionosphere,knn5,25,random,macro_f1,0.9228521332554063,0.7954545454545454,0.7758913412563667,5,"f1,f5,f15,f21,f31",1156,8.030336099967826
ionosphere,knn5,26,baseline,none,,0.8409090909090909,0.8089330024813896,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.011178100015968084
ionosphere,knn5,26,sfs,accuracy,0.9545454545454546,0.8522727272727273,0.8369208838203849,2,"f7,f4",99,0.32099050004035234
ionosphere,knn5,26,sfs,macro_f1,0.9494252873563218,0.8522727272727273,0.8369208838203849,2,"f7,f4",99,0.45364530000369996
ionosphere,knn5,26,sbs,accuracy,0.9090909090909091,0.8409090909090909,0.8089330024813896,30,"f1,f2,f3,f4,f5,f7,f8,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f26,f27,f28,f29,f30,f31,f32,f33,f34",161,1.1891218000091612
ionosphere,knn5,26,sbs,macro_f1,0.8952380952380952,0.8409090909090909,0.8089330024813896,30,"f1,f2,f3,f4,f5,f7,f8,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f26,f27,f28,f29,f30,f31,f32,f33,f34",161,1.412333300046157
ionosphere,knn5,26,random,accuracy,0.9431818181818182,0.8636363636363636,0.8457042665108124,4,"f2,f5,f6,f20",1156,6.347773800021969
ionosphere,knn5,26,random,macro_f1,0.9362595972765464,0.8636363636363636,0.8457042665108124,4,"f2,f5,f6,f20",1156,7.882722400012426
ionosphere,knn5,27,baseline,none,,0.8068181818181818,0.7596014783866303,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.009808100003283471
ionosphere,knn5,27,sfs,accuracy,0.9318181818181818,0.9772727272727273,0.9750990379173741,3,"f6,f5,f3",130,0.5412405999959446
ionosphere,knn5,27,sfs,macro_f1,0.9241379310344828,0.9772727272727273,0.9750990379173741,3,"f6,f5,f3",130,0.7140630000503734
ionosphere,knn5,27,sbs,accuracy,0.8863636363636364,0.7954545454545454,0.7421875,31,"f1,f2,f4,f5,f6,f7,f8,f9,f10,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f29,f30,f31,f32,f33,f34",131,1.0434322000364773
ionosphere,knn5,27,sbs,macro_f1,0.8714202220923437,0.8068181818181818,0.7596014783866303,31,"f2,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f30,f31,f32,f33,f34",131,1.1537807999993674
ionosphere,knn5,27,random,accuracy,0.9204545454545454,0.8863636363636364,0.8690476190476191,9,"f1,f2,f7,f8,f12,f13,f18,f24,f28",1156,6.341854400001466
ionosphere,knn5,27,random,macro_f1,0.910763436187165,0.8409090909090909,0.8089330024813896,4,"f4,f19,f21,f34",1156,7.5220314000034705
ionosphere,knn5,28,baseline,none,,0.8522727272727273,0.8205490196078431,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.008626400027424097
